기관코드,기관명,사업구분,담당부서,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,비고
ORG00001,테스트기관00001,운영비,행정지원팀,101007,102007,103007,104007,105007,106007,107007,108007,109007,110007,111007,112007,합성 대용량 테스트
ORG00002,테스트기관00002,급식비,예산팀,101014,102014,103014,104014,105014,106014,107014,108014,109014,110014,111014,112014,합성 대용량 테스트
ORG00003,테스트기관00003,시설비,시설팀,101021,102021,103021,104021,105021,106021,107021,108021,109021,110021,111021,112021,합성 대용량 테스트
ORG00004,테스트기관00004,강사비,교육지원팀,101028,102028,103028,104028,105028,106028,107028,108028,109028,110028,111028,112028,합성 대용량 테스트
ORG00005,테스트기관00005,운영비,행정지원팀,101035,102035,103035,104035,105035,106035,107035,108035,109035,110035,111035,112035,합성 대용량 테스트
ORG00006,테스트기관00006,급식비,예산팀,101042,102042,103042,104042,105042,106042,107042,108042,109042,110042,111042,112042,합성 대용량 테스트
ORG00007,테스트기관00007,시설비,시설팀,101049,102049,103049,104049,105049,106049,107049,108049,109049,110049,111049,112049,합성 대용량 테스트
ORG00008,테스트기관00008,강사비,교육지원팀,101056,102056,103056,104056,105056,106056,107056,108056,109056,110056,111056,112056,합성 대용량 테스트
ORG00009,테스트기관00009,운영비,행정지원팀,101063,102063,103063,104063,105063,106063,107063,108063,109063,110063,111063,112063,합성 대용량 테스트
ORG00010,테스트기관00010,급식비,예산팀,101070,102070,103070,104070,105070,106070,107070,108070,109070,110070,111070,112070,합성 대용량 테스트
ORG00011,테스트기관00011,시설비,시설팀,101077,102077,103077,104077,105077,106077,107077,108077,109077,110077,111077,112077,합성 대용량 테스트
ORG00012,테스트기관00012,강사비,교육지원팀,101084,102084,103084,104084,105084,106084,107084,108084,109084,110084,111084,112084,합성 대용량 테스트
ORG00013,테스트기관00013,운영비,행정지원팀,101091,102091,103091,104091,105091,106091,107091,108091,109091,110091,111091,112091,합성 대용량 테스트
ORG00014,테스트기관00014,급식비,예산팀,101098,102098,103098,104098,105098,106098,107098,108098,109098,110098,111098,112098,합성 대용량 테스트
ORG00015,테스트기관00015,시설비,시설팀,101105,102105,103105,104105,105105,106105,107105,108105,109105,110105,111105,112105,합성 대용량 테스트
ORG00016,테스트기관00016,강사비,교육지원팀,101112,102112,103112,104112,105112,106112,107112,108112,109112,110112,111112,112112,합성 대용량 테스트
ORG00017,테스트기관00017,운영비,행정지원팀,101119,102119,103119,104119,105119,106119,107119,108119,109119,110119,111119,112119,합성 대용량 테스트
ORG00018,테스트기관00018,급식비,예산팀,101126,102126,103126,104126,105126,106126,107126,108126,109126,110126,111126,112126,합성 대용량 테스트
ORG00019,테스트기관00019,시설비,시설팀,101133,102133,103133,104133,105133,106133,107133,108133,109133,110133,111133,112133,합성 대용량 테스트
ORG00020,테스트기관00020,강사비,교육지원팀,101140,102140,103140,104140,105140,106140,107140,108140,109140,110140,111140,112140,합성 대용량 테스트
ORG00021,테스트기관00021,운영비,행정지원팀,101147,102147,103147,104147,105147,106147,107147,108147,109147,110147,111147,112147,합성 대용량 테스트
ORG00022,테스트기관00022,급식비,예산팀,101154,102154,103154,104154,105154,106154,107154,108154,109154,110154,111154,112154,합성 대용량 테스트
ORG00023,테스트기관00023,시설비,시설팀,101161,102161,103161,104161,105161,106161,107161,108161,109161,110161,111161,112161,합성 대용량 테스트
ORG00024,테스트기관00024,강사비,교육지원팀,101168,102168,103168,104168,105168,106168,107168,108168,109168,110168,111168,112168,합성 대용량 테스트
ORG00025,테스트기관00025,운영비,행정지원팀,101175,102175,103175,104175,105175,106175,107175,108175,109175,110175,111175,112175,합성 대용량 테스트
ORG00026,테스트기관00026,급식비,예산팀,101182,102182,103182,104182,105182,106182,107182,108182,109182,110182,111182,112182,합성 대용량 테스트
ORG00027,테스트기관00027,시설비,시설팀,101189,102189,103189,104189,105189,106189,107189,108189,109189,110189,111189,112189,합성 대용량 테스트
ORG00028,테스트기관00028,강사비,교육지원팀,101196,102196,103196,104196,105196,106196,107196,108196,109196,110196,111196,112196,합성 대용량 테스트
ORG00029,테스트기관00029,운영비,행정지원팀,101203,102203,103203,104203,105203,106203,107203,108203,109203,110203,111203,112203,합성 대용량 테스트
ORG00030,테스트기관00030,급식비,예산팀,101210,102210,103210,104210,105210,106210,107210,108210,109210,110210,111210,112210,합성 대용량 테스트
ORG00031,테스트기관00031,시설비,시설팀,101217,102217,103217,104217,105217,106217,107217,108217,109217,110217,111217,112217,합성 대용량 테스트
